70210155;Brasília/DF;Vila da Telebrasília;Rua 27;
70210160;Brasília/DF;Vila da Telebrasília;Rua 28;
70210165;Brasília/DF;Vila da Telebrasília;Rua 29;
70210175;Brasília/DF;Vila da Telebrasília;Rua 30;
70210550;Brasília/DF;Asa Sul;Acampamento Saturnino de Brito;
70232000;Brasília/DF;Asa Sul;SQS 202;
70232010;Brasília/DF;Asa Sul;SQS 202 Bloco A;
70232020;Brasília/DF;Asa Sul;SQS 202 Bloco B;
70232030;Brasília/DF;Asa Sul;SQS 202 Bloco C;
70232040;Brasília/DF;Asa Sul;SQS 202 Bloco D;
70232050;Brasília/DF;Asa Sul;SQS 202 Bloco E;
70232060;Brasília/DF;Asa Sul;SQS 202 Bloco F;
70232070;Brasília/DF;Asa Sul;SQS 202 Bloco G;
70232080;Brasília/DF;Asa Sul;SQS 202 Bloco H;
70232090;Brasília/DF;Asa Sul;SQS 202 Bloco I;
70232100;Brasília/DF;Asa Sul;SQS 202 Bloco J;
70232110;Brasília/DF;Asa Sul;SQS 202 Bloco K;
70232120;Brasília/DF;Asa Sul;SQS 202 Bloco L;
70232400;Brasília/DF;Asa Sul;EQS 202/203;
70232500;Brasília/DF;Asa Sul;CLS 202;
70232510;Brasília/DF;Asa Sul;CLS 201 Bloco A;
70232515;Brasília/DF;Asa Sul;CLS 202 Bloco A;
70232520;Brasília/DF;Asa Sul;CLS 201 Bloco B;
70232525;Brasília/DF;Asa Sul;CLS 202 Bloco B;
70232530;Brasília/DF;Asa Sul;CLS 201 Bloco C;
70232535;Brasília/DF;Asa Sul;CLS 202 Bloco C;
70232540;Brasília/DF;Asa Sul;CLS 201 Bloco D;
70232545;Brasília/DF;Asa Sul;CLS 202 Bloco D;
70232550;Brasília/DF;Asa Sul;CLS 201;
70233000;Brasília/DF;Asa Sul;SQS 203;
